City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,ola,59.5833,151.2833,54.5,86,100,4.56,RU,1720310201
183,genhe,50.7833,121.5167,71.02,76,74,7.2,CN,1720310202
184,vila velha,-20.3297,-40.2925,75.15,83,40,6.91,BR,1720310128
185,kuanda,56.3161,116.0806,73.87,44,30,2.71,RU,1720310204
186,magadan,59.5667,150.8,53.47,89,100,3.58,RU,1720310206
187,filomeno mata,20.2,-97.7,79.66,79,73,2.68,MX,1720310207
188,chonchi,-42.6128,-73.8092,44.11,97,92,1.48,CL,1720310208
189,gelemso,8.8167,40.5167,63.03,82,100,6.87,ET,1720310209
190,pasuquin,18.3328,120.6177,80.55,89,20,5.75,PH,1720310210
191,es castell,39.8795,4.2854,72.28,94,75,13.8,ES,1720310211
192,meizhou,24.2977,116.1072,83.26,84,0,1.9,CN,1720310213
193,fort st. john,56.2499,-120.8529,76.89,33,0,6.91,CA,1720310214
194,hithadhoo,-0.6,73.0833,83.8,75,91,9.66,MV,1720310215
195,san antonio de pale,-1.4014,5.6325,73.6,87,69,11.88,GQ,1720310216
196,igarka,67.4667,86.5833,47.14,79,96,12.33,RU,1720310217
197,tabuk,17.4189,121.4443,81.48,75,22,4.47,PH,1720310219
198,corni,47.65,26.5833,63.39,89,86,5.82,RO,1720310220
199,vorgashor,67.5833,63.95,57.61,75,46,9.35,RU,1720310221
200,kourou,5.1552,-52.6478,78.85,85,99,5.66,GF,1720310222
201,conduaga,8.862,117.4893,81.41,82,86,3.51,PH,1720310223
202,vadso,70.0744,29.7487,55.56,76,75,1.14,NO,1720310225
203,acarau,-2.8856,-40.12,78.24,80,74,14.2,BR,1720310090
204,tanjung selor,2.8372,117.3642,77.83,91,86,1.19,ID,1720310228
205,male,4.1748,73.5089,84.15,79,75,5.75,MV,1720310229
206,hadibu,12.65,54.0333,78.98,83,45,19.33,YE,1720310230
207,la ronge,55.1001,-105.2842,79.05,36,75,14.97,CA,1720310232
208,waingapu,-9.6567,120.2641,77.14,70,86,11.27,ID,1720310233
209,yaren,-0.5472,166.916,81.57,78,100,9.84,NR,1720310234
210,galesong,-5.3166,119.3661,77.02,77,44,6.26,ID,1720310235
211,enriquillo,17.9,-71.2333,85.68,90,74,9.46,DO,1720310236
212,mazagao,-0.115,-51.2894,84.25,85,48,5.7,BR,1720310239
213,tazovsky,67.4667,78.7,43.63,80,87,14.99,RU,1720310240
214,kidal,18.4411,1.4078,96.08,23,18,16.71,ML,1720310241
215,nahiyat ash shinafiyah,31.5874,44.6602,91.96,16,1,11.68,IQ,1720310242
216,rongelap,11.1635,166.8941,83.32,79,36,17.2,MH,1720310243
217,chipata,-13.6333,32.65,55.71,33,0,5.35,ZM,1720310245
218,chui,-33.6971,-53.4616,40.17,81,28,3.47,UY,1720310246
219,lang suan,9.9456,99.0785,77.74,89,100,3.2,TH,1720310247
220,praia,14.9215,-23.5087,73.94,83,100,8.05,CV,1720310248
221,gejiu,23.306,103.1635,62.28,97,55,4.09,CN,1720310249
222,sanya,18.2431,109.505,80.76,94,40,4.47,CN,1720310251
223,baglung,28.2719,83.5898,67.8,99,100,2.13,NP,1720310252
